2	1	2	50	16000	20000	1365.12
5	4	4	200	16000	20000	1072.60
16	13	3	250	16000	20000	305.22
17	6	3	150	16000	20000	213.99
17	6	4	250	16000	20000	213.09
19	18	1	350	16000	20000	284.89
24	22	4	150	16000	20000	227.09
25	23	1	50	16000	20000	224.10
26	8	1	150	16000	20000	185.97
26	14	2	300	16000	20000	198.43
26	21	2	400	16000	20000	208.87
28	5	4	300	16000	20000	164.85
30	4	2	300	16000	20000	151.87
33	18	1	150	16000	20000	160.96
34	14	4	300	16000	20000	122.56
35	31	4	200	16000	20000	187.00
35	34	2	400	16000	20000	186.94
36	15	2	250	16000	20000	147.15
37	8	1	200	16000	20000	116.82
38	12	1	150	16000	20000	109.44
38	22	1	300	16000	20000	117.42
38	29	2	400	16000	20000	135.82
39	5	4	350	16000	20000	121.00
40	34	4	200	16000	20000	174.56
43	2	3	300	16000	20000	97.93
43	23	4	150	16000	20000	124.61
43	30	2	400	16000	20000	128.16
45	16	2	150	16000	20000	121.83
46	3	3	300	16000	20000	84.05
46	4	4	50	16000	20000	86.94
46	17	3	200	16000	20000	98.57
48	35	1	150	16000	20000	150.30
49	12	4	400	16000	20000	110.83
50	20	2	150	16000	20000	89.56
51	2	1	50	16000	20000	78.54
52	8	4	50	16000	20000	100.76
52	18	2	400	16000	20000	108.14
55	29	1	300	16000	20000	126.51
55	31	3	400	16000	20000	123.06
55	32	2	300	16000	20000	121.77
56	24	2	250	16000	20000	110.81
57	11	1	100	16000	20000	75.42
58	11	2	250	16000	20000	75.08
58	33	3	50	16000	20000	104.71
61	8	2	300	16000	20000	80.42
64	3	2	350	16000	20000	77.38
64	26	1	200	16000	20000	102.83
65	29	2	250	16000	20000	101.70
66	13	3	400	16000	20000	85.44
67	26	2	100	16000	20000	96.72
68	18	4	400	16000	20000	68.93
68	26	4	150	16000	20000	75.12
69	25	2	250	16000	20000	73.67
70	24	1	50	16000	20000	73.25
71	8	4	50	16000	20000	77.41
72	6	3	50	16000	20000	75.89
72	11	4	200	16000	20000	79.13
72	19	1	300	16000	20000	82.83
72	25	4	400	16000	20000	90.15
73	11	1	400	16000	20000	78.15
74	4	4	400	16000	20000	61.75
74	35	2	100	16000	20000	95.79
76	10	3	250	16000	20000	60.57
78	10	3	250	16000	20000	72.17
79	27	3	300	16000	20000	87.77
81	28	1	50	16000	20000	91.48
82	8	3	350	16000	20000	60.57
83	17	1	200	16000	20000	75.45
83	17	4	150	16000	20000	75.17
84	30	2	50	16000	20000	76.35
85	26	3	50	16000	20000	65.44
85	34	3	400	16000	20000	72.75
86	19	3	100	16000	20000	61.92
86	35	1	150	16000	20000	85.06
88	27	2	250	16000	20000	79.08
89	17	1	50	16000	20000	73.54
91	20	2	250	16000	20000	68.62
92	32	2	100	16000	20000	70.97
94	16	1	100	16000	20000	58.52
94	30	1	100	16000	20000	68.93
95	4	1	100	16000	20000	50.02
97	8	1	400	16000	20000	64.22
99	32	2	50	16000	20000	86.45
100	22	2	200	16000	20000	57.66
100	23	1	150	16000	20000	52.78
103	4	1	350	16000	20000	59.80
103	14	2	150	16000	20000	65.25
103	24	2	350	16000	20000	72.68
104	13	1	300	16000	20000	61.59
106	20	1	350	16000	20000	55.21
106	34	1	400	16000	20000	69.18
109	19	2	250	16000	20000	64.61
111	24	2	100	16000	20000	53.26
112	4	3	50	16000	20000	45.84
112	18	1	100	16000	20000	49.01
112	20	4	300	16000	20000	49.15
113	32	3	300	16000	20000	76.17
114	8	1	300	16000	20000	44.25
114	8	2	400	16000	20000	44.11
114	13	3	400	16000	20000	44.21
115	9	2	300	16000	20000	43.51
115	10	1	50	16000	20000	46.86
115	28	3	300	16000	20000	53.37
117	32	3	250	16000	20000	72.86
118	5	4	300	16000	20000	47.46
119	30	2	350	16000	20000	52.23
120	15	1	150	16000	20000	43.26
124	13	2	50	16000	20000	45.24
124	15	4	350	16000	20000	42.09
126	25	1	50	16000	20000	49.21
127	22	2	200	16000	20000	64.79
130	30	3	50	16000	20000	52.73
131	5	2	350	16000	20000	inf
131	24	3	50	16000	20000	inf
132	5	2	300	16000	20000	38.66
134	35	3	400	16000	20000	63.39
135	12	4	100	16000	20000	40.65
136	33	1	200	16000	20000	52.93
137	6	3	100	16000	20000	inf
137	17	2	300	16000	20000	inf
138	16	2	250	16000	20000	41.65
138	19	1	300	16000	20000	40.11
138	30	4	300	16000	20000	48.48
139	27	2	350	16000	20000	inf
141	33	2	50	16000	20000	56.80
143	25	1	350	16000	20000	53.23
144	22	2	150	16000	20000	41.04
146	14	2	100	16000	20000	47.49
146	23	4	150	16000	20000	49.63
149	29	3	300	16000	20000	inf
151	19	4	100	16000	20000	inf
155	20	4	150	16000	20000	38.75
155	32	2	200	16000	20000	47.45
156	30	1	400	16000	20000	43.67
158	12	1	400	16000	20000	43.97
158	26	1	250	16000	20000	50.30
158	28	2	150	16000	20000	52.74
159	9	4	250	16000	20000	38.14
161	7	2	250	16000	20000	38.80
161	24	1	150	16000	20000	42.12
161	34	3	150	16000	20000	49.19
165	17	4	200	16000	20000	39.24
172	31	1	200	16000	20000	46.53
173	7	2	400	16000	20000	inf
173	23	2	300	16000	20000	inf
175	33	3	150	16000	20000	44.28
176	31	4	150	16000	20000	42.11
177	14	4	200	16000	20000	39.08
182	9	3	200	16000	20000	33.97
182	16	4	400	16000	20000	37.01
184	8	2	400	16000	20000	33.34
184	28	2	50	16000	20000	41.59
185	23	2	150	16000	20000	36.60
189	19	4	350	16000	20000	32.95
190	26	3	150	16000	20000	37.62
194	21	2	400	16000	20000	43.22
195	9	3	350	16000	20000	31.27
195	21	4	200	16000	20000	36.07
